Episode,Reward,Wins,Losses,Epsilon
357,-14.650082734226674,79,116,0.09994334856146549
358,-7.237667401801289,79,116,0.09994334856146549
359,-13.420419980216115,79,116,0.09994334856146549
360,-100.0,79,117,0.09994334856146549
361,100.0,80,117,0.09994334856146549
362,-100.0,80,118,0.09994334856146549
363,-100.0,80,119,0.09994334856146549
364,100.0,81,119,0.09994334856146549
365,-18.772554538835728,81,119,0.09994334856146549
366,-12.52107746605842,81,119,0.09994334856146549
367,-100.0,81,120,0.09994334856146549
368,-100.0,81,121,0.09994334856146549
369,-19.385783957668295,81,121,0.09994334856146549
370,-15.881388841031159,81,121,0.09994334856146549
371,-100.0,81,122,0.09994334856146549
372,-100.0,81,123,0.09994334856146549
373,-100.0,81,124,0.09994334856146549
374,-7.616746839416915,81,124,0.09994334856146549
375,-16.204125114261398,81,124,0.09994334856146549
376,-18.48269020623223,81,124,0.09994334856146549
377,-8.199498462643835,81,124,0.09994334856146549
378,100.0,82,124,0.09994334856146549
379,-100.0,82,125,0.09994334856146549
380,100.0,83,125,0.09994334856146549
381,-15.639382148322163,83,125,0.09994334856146549
382,-100.0,83,126,0.09994334856146549
383,-14.330571581864787,83,126,0.09994334856146549
384,100.0,84,126,0.09994334856146549
385,100.0,85,126,0.09994334856146549
386,100.0,86,126,0.09994334856146549
387,-100.0,86,127,0.09994334856146549
388,100.0,87,127,0.09994334856146549
389,-12.580702537391359,87,127,0.09994334856146549
390,-10.97981516025008,87,127,0.09994334856146549
391,-10.575313134990413,87,127,0.09994334856146549
392,-100.0,87,128,0.09994334856146549
393,-7.761174500420883,87,128,0.09994334856146549
394,100.0,88,128,0.09994334856146549
395,-100.0,88,129,0.09994334856146549
396,-100.0,88,130,0.09994334856146549
397,-100.0,88,131,0.09994334856146549
398,-0.9454653826570278,88,131,0.09994334856146549
399,-6.859281773848653,88,131,0.09994334856146549
400,-6.646692796731895,88,131,0.09994334856146549
401,100.0,89,131,0.09994334856146549
402,-100.0,89,132,0.09994334856146549
403,100.0,90,132,0.09994334856146549
404,-100.0,90,133,0.09994334856146549
405,-6.013440416260918,90,133,0.09994334856146549
406,-14.406814290466379,90,133,0.09994334856146549
407,-100.0,90,134,0.09994334856146549
408,-9.04934832452699,90,134,0.09994334856146549
409,-100.0,90,135,0.09994334856146549
410,-100.0,90,136,0.09994334856146549
411,-100.0,90,137,0.09994334856146549
412,100.0,91,137,0.09994334856146549
413,100.0,92,137,0.09994334856146549
414,-100.0,92,138,0.09994334856146549
415,100.0,93,138,0.09994334856146549
416,-100.0,93,139,0.09994334856146549
417,-18.244444444444447,93,139,0.09994334856146549
418,100.0,94,139,0.09994334856146549
419,-9.07970095527922,94,139,0.09994334856146549
420,100.0,95,139,0.09994334856146549
421,-100.0,95,140,0.09994334856146549
422,-15.633009265083516,95,140,0.09994334856146549
423,-100.0,95,141,0.09994334856146549
424,100.0,96,141,0.09994334856146549
425,-100.0,96,142,0.09994334856146549
426,-13.112535867853268,96,142,0.09994334856146549
427,-100.0,96,143,0.09994334856146549
428,-100.0,96,144,0.09994334856146549
429,-100.0,96,145,0.09994334856146549
430,-100.0,96,146,0.09994334856146549
431,-9.425879856295257,96,146,0.09994334856146549
432,100.0,97,146,0.09994334856146549
433,100.0,98,146,0.09994334856146549
434,-7.019341702016591,98,146,0.09994334856146549
435,-17.227967734038895,98,146,0.09994334856146549
436,-100.0,98,147,0.09994334856146549
437,100.0,99,147,0.09994334856146549
438,-100.0,99,148,0.09994334856146549
439,-11.218012794423235,99,148,0.09994334856146549
440,-12.91155694615866,99,148,0.09994334856146549
441,-100.0,99,149,0.09994334856146549
442,-100.0,99,150,0.09994334856146549
443,-100.0,99,151,0.09994334856146549
444,100.0,100,151,0.09994334856146549
445,-16.182598296326297,100,151,0.09994334856146549
446,-12.784967083542583,100,151,0.09994334856146549
447,-7.698472318778148,100,151,0.09994334856146549
448,100.0,101,151,0.09994334856146549
449,-8.079417786458201,101,151,0.09994334856146549
450,-5.293525511863935,101,151,0.09994334856146549
451,100.0,102,151,0.09994334856146549
452,-100.0,102,152,0.09994334856146549
453,-7.809164093161711,102,152,0.09994334856146549
454,-17.078366637622572,102,152,0.09994334856146549
455,100.0,103,152,0.09994334856146549
456,100.0,104,152,0.09994334856146549
457,-5.389814723246529,104,152,0.09994334856146549
458,-100.0,104,153,0.09994334856146549
459,-100.0,104,154,0.09994334856146549
460,-11.191228143929568,104,154,0.09994334856146549
461,-6.770532536392534,104,154,0.09994334856146549
462,100.0,105,154,0.09994334856146549
463,-8.89377434443696,105,154,0.09994334856146549
464,100.0,106,154,0.09994334856146549
465,-6.020845144462184,106,154,0.09994334856146549
466,-100.0,106,155,0.09994334856146549
467,-17.22362596082364,106,155,0.09994334856146549
468,-100.0,106,156,0.09994334856146549
469,100.0,107,156,0.09994334856146549
470,-100.0,107,157,0.09994334856146549
471,-100.0,107,158,0.09994334856146549
472,-13.90666464870901,107,158,0.09994334856146549
473,-6.035337525618895,107,158,0.09994334856146549
