Episode,Reward,Wins,Losses,Epsilon
289,-6.2830060446366165,21,51,0.00998645168764533
290,-4.314164790945006,21,51,0.00998645168764533
291,-7.999671310763853,21,51,0.00998645168764533
292,-7.839895651886847,21,51,0.00998645168764533
293,-6.978243601896809,21,51,0.00998645168764533
294,-3.0320085096339153,21,51,0.00998645168764533
295,-100.0,21,52,0.00998645168764533
296,-5.627973261587366,21,52,0.00998645168764533
297,-100.0,21,53,0.00998645168764533
298,-15.227026102231864,21,53,0.00998645168764533
299,-14.078273827327061,21,53,0.00998645168764533
300,-13.605017782409991,21,53,0.00998645168764533
301,-14.688819758762882,21,53,0.00998645168764533
302,-15.053305819677862,21,53,0.00998645168764533
303,100.0,22,53,0.00998645168764533
304,-15.474332222683682,22,53,0.00998645168764533
305,-14.925653702517472,22,53,0.00998645168764533
306,-6.397367495360628,22,53,0.00998645168764533
307,-17.264584635435366,22,53,0.00998645168764533
308,-12.95410835847422,22,53,0.00998645168764533
309,-15.55,22,53,0.00998645168764533
310,100.0,23,53,0.00998645168764533
311,-13.882005876040713,23,53,0.00998645168764533
312,-14.403856048120941,23,53,0.00998645168764533
313,-16.910631320365276,23,53,0.00998645168764533
314,-16.972344769148012,23,53,0.00998645168764533
315,-15.38397100397378,23,53,0.00998645168764533
316,-18.280254375789774,23,53,0.00998645168764533
317,-100.0,23,54,0.00998645168764533
318,-13.256351851581517,23,54,0.00998645168764533
319,-100.0,23,55,0.00998645168764533
320,100.0,24,55,0.00998645168764533
321,-16.065658041076063,24,55,0.00998645168764533
322,100.0,25,55,0.00998645168764533
323,-9.133624888530406,25,55,0.00998645168764533
324,-10.306305013915573,25,55,0.00998645168764533
325,-11.686566930320394,25,55,0.00998645168764533
326,-13.973333295204638,25,55,0.00998645168764533
327,-4.8380582186931935,25,55,0.00998645168764533
328,-7.347026738412634,25,55,0.00998645168764533
329,-13.81526915455323,25,55,0.00998645168764533
330,-100.0,25,56,0.00998645168764533
331,-14.545073164358154,25,56,0.00998645168764533
332,-100.0,25,57,0.00998645168764533
333,-15.906428309101496,25,57,0.00998645168764533
334,100.0,26,57,0.00998645168764533
335,-18.590064427775985,26,57,0.00998645168764533
336,-10.378649530464454,26,57,0.00998645168764533
337,-100.0,26,58,0.00998645168764533
338,-100.0,26,59,0.00998645168764533
339,-13.365166986805317,26,59,0.00998645168764533
340,-4.971474475868822,26,59,0.00998645168764533
341,100.0,27,59,0.00998645168764533
342,-8.632711540510098,27,59,0.00998645168764533
343,-100.0,27,60,0.00998645168764533
344,-100.0,27,61,0.00998645168764533
345,-15.433388980319094,27,61,0.00998645168764533
346,-11.360748892343194,27,61,0.00998645168764533
347,-11.615896195820907,27,61,0.00998645168764533
348,-7.0060409558739165,27,61,0.00998645168764533
349,-8.955052174056577,27,61,0.00998645168764533
350,-100.0,27,62,0.00998645168764533
351,-13.609857868278674,27,62,0.00998645168764533
352,-7.4942158852132215,27,62,0.00998645168764533
353,-6.280481157897103,27,62,0.00998645168764533
354,-18.473832283006335,27,62,0.00998645168764533
355,-8.416879686886002,27,62,0.00998645168764533
356,-19.258570566603332,27,62,0.00998645168764533
357,-11.84325532250035,27,62,0.00998645168764533
358,-100.0,27,63,0.00998645168764533
359,-6.428067694286551,27,63,0.00998645168764533
360,-16.045119492379335,27,63,0.00998645168764533
361,-15.94242152377433,27,63,0.00998645168764533
362,-100.0,27,64,0.00998645168764533
363,-100.0,27,65,0.00998645168764533
364,-13.933418460818967,27,65,0.00998645168764533
365,100.0,28,65,0.00998645168764533
366,-7.832082395472504,28,65,0.00998645168764533
367,-14.752506907304575,28,65,0.00998645168764533
368,-12.298513650520002,28,65,0.00998645168764533
369,100.0,29,65,0.00998645168764533
370,-15.413549350048072,29,65,0.00998645168764533
371,100.0,30,65,0.00998645168764533
372,-17.597216857818253,30,65,0.00998645168764533
373,-6.737081911747834,30,65,0.00998645168764533
374,-6.995686206423617,30,65,0.00998645168764533
375,-6.65939857341562,30,65,0.00998645168764533
376,100.0,31,65,0.00998645168764533
377,-5.36909917456711,31,65,0.00998645168764533
378,-5.390120250550389,31,65,0.00998645168764533
379,-6.595186473549193,31,65,0.00998645168764533
380,-7.8500000000000005,31,65,0.00998645168764533
381,-16.861920770751926,31,65,0.00998645168764533
382,-17.731577563383514,31,65,0.00998645168764533
383,-100.0,31,66,0.00998645168764533
384,-100.0,31,67,0.00998645168764533
385,-6.7,31,67,0.00998645168764533
386,100.0,32,67,0.00998645168764533
387,-3.82243622680054,32,67,0.00998645168764533
388,-5.458761953779065,32,67,0.00998645168764533
389,-6.482265789300874,32,67,0.00998645168764533
390,-100.0,32,68,0.00998645168764533
391,-15.04227281965201,32,68,0.00998645168764533
392,-17.08981221988938,32,68,0.00998645168764533
393,-15.133705054999282,32,68,0.00998645168764533
394,-100.0,32,69,0.00998645168764533
395,100.0,33,69,0.00998645168764533
396,100.0,34,69,0.00998645168764533
397,-13.338308611573826,34,69,0.00998645168764533
398,-100.0,34,70,0.00998645168764533
399,-13.297488474389016,34,70,0.00998645168764533
400,-100.0,34,71,0.00998645168764533
401,-100.0,34,72,0.00998645168764533
402,-100.0,34,73,0.00998645168764533
403,-12.812819918012917,34,73,0.00998645168764533
404,100.0,35,73,0.00998645168764533
405,-14.850530284840055,35,73,0.00998645168764533
406,-100.0,35,74,0.00998645168764533
407,-11.082047985082134,35,74,0.00998645168764533
408,-14.109668069775658,35,74,0.00998645168764533
409,-7.913526684165291,35,74,0.00998645168764533
410,-12.396764627626755,35,74,0.00998645168764533
411,-4.682881741456411,35,74,0.00998645168764533
412,-7.571488883455325,35,74,0.00998645168764533
413,-8.733631915635733,35,74,0.00998645168764533
414,-9.0012437887911,35,74,0.00998645168764533
415,-7.062081911747835,35,74,0.00998645168764533
416,-100.0,35,75,0.00998645168764533
417,-16.137846609754742,35,75,0.00998645168764533
418,-15.378638456463749,35,75,0.00998645168764533
419,-6.567917308599844,35,75,0.00998645168764533
420,-100.0,35,76,0.00998645168764533
421,-15.27863845646375,35,76,0.00998645168764533
422,100.0,36,76,0.00998645168764533
423,-100.0,36,77,0.00998645168764533
424,-11.898516315591921,36,77,0.00998645168764533
425,-6.002632504639372,36,77,0.00998645168764533
426,-6.620228293937907,36,77,0.00998645168764533
427,-14.377558774788085,36,77,0.00998645168764533
428,-19.303834922759794,36,77,0.00998645168764533
429,-5.771568853724638,36,77,0.00998645168764533
430,-13.725339379143284,36,77,0.00998645168764533
431,-6.46812286762175,36,77,0.00998645168764533
432,-4.1679173085998436,36,77,0.00998645168764533
433,-7.010088316867434,36,77,0.00998645168764533
434,-12.402305168863684,36,77,0.00998645168764533
435,-100.0,36,78,0.00998645168764533
436,-5.293410671857262,36,78,0.00998645168764533
437,-6.040612652732698,36,78,0.00998645168764533
438,-7.96253790234795,36,78,0.00998645168764533
439,-14.192991083956915,36,78,0.00998645168764533
440,-15.953467976971254,36,78,0.00998645168764533
441,-100.0,36,79,0.00998645168764533
442,-5.476041439598586,36,79,0.00998645168764533
443,-8.139133235669345,36,79,0.00998645168764533
444,-5.936146697256943,36,79,0.00998645168764533
445,-11.421813630110327,36,79,0.00998645168764533
446,-17.030049521444816,36,79,0.00998645168764533
447,-100.0,36,80,0.00998645168764533
448,-16.177063654442588,36,80,0.00998645168764533
449,-15.705831637189103,36,80,0.00998645168764533
450,-5.877837028684539,36,80,0.00998645168764533
451,-10.593938428951269,36,80,0.00998645168764533
452,-6.564766453021711,36,80,0.00998645168764533
453,-4.289133235669343,36,80,0.00998645168764533
454,-10.68470935681928,36,80,0.00998645168764533
455,-15.870773831148357,36,80,0.00998645168764533
456,-100.0,36,81,0.00998645168764533
457,-9.752259581205465,36,81,0.00998645168764533
458,-12.688274825655594,36,81,0.00998645168764533
459,-7.843959044126084,36,81,0.00998645168764533
